Region,Country,Year,Series,Value,Footnotes,Source
484,Mexico,2015,Current health expenditure (% of GDP),5.7,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2018,Current health expenditure (% of GDP),5.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2019,Current health expenditure (% of GDP),5.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2020,Current health expenditure (% of GDP),6.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2005,Domestic general government health expenditure (% of total government expenditure),11.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2010,Domestic general government health expenditure (% of total government expenditure),10.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2015,Domestic general government health expenditure (% of total government expenditure),10.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2018,Domestic general government health expenditure (% of total government expenditure),10.4,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2019,Domestic general government health expenditure (% of total government expenditure),10.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
484,Mexico,2020,Domestic general government health expenditure (% of total government expenditure),11.5,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2005,Current health expenditure (% of GDP),17.7,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2010,Current health expenditure (% of GDP),13.1,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2015,Current health expenditure (% of GDP),12.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2018,Current health expenditure (% of GDP),11.7,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2019,Current health expenditure (% of GDP),11.3,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2020,Current health expenditure (% of GDP),11.6,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2005,Domestic general government health expenditure (% of total government expenditure),4.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2010,Domestic general government health expenditure (% of total government expenditure),3.4,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2015,Domestic general government health expenditure (% of total government expenditure),5.8,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2018,Domestic general government health expenditure (% of total government expenditure),5.5,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2019,Domestic general government health expenditure (% of total government expenditure),5.3,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
583,Micronesia (Fed. States of),2020,Domestic general government health expenditure (% of total government expenditure),4.1,Data refer to fiscal years beginning 1 October.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2005,Current health expenditure (% of GDP),2.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2010,Current health expenditure (% of GDP),2.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2015,Current health expenditure (% of GDP),2.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2018,Current health expenditure (% of GDP),1.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2019,Current health expenditure (% of GDP),1.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2020,Current health expenditure (% of GDP),1.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2005,Domestic general government health expenditure (% of total government expenditure),7.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2010,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2015,Domestic general government health expenditure (% of total government expenditure),8.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2018,Domestic general government health expenditure (% of total government expenditure),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2019,Domestic general government health expenditure (% of total government expenditure),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
492,Monaco,2020,Domestic general government health expenditure (% of total government expenditure),4.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2005,Current health expenditure (% of GDP),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2010,Current health expenditure (% of GDP),3.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2015,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2018,Current health expenditure (% of GDP),3.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2019,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2020,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2005,Domestic general government health expenditure (% of total government expenditure),9.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2010,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2015,Domestic general government health expenditure (% of total government expenditure),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2018,Domestic general government health expenditure (% of total government expenditure),7.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2019,Domestic general government health expenditure (% of total government expenditure),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
496,Mongolia,2020,Domestic general government health expenditure (% of total government expenditure),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2015,Current health expenditure (% of GDP),9.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2018,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2019,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2020,Current health expenditure (% of GDP),11.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2015,Domestic general government health expenditure (% of total government expenditure),11.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2018,Domestic general government health expenditure (% of total government expenditure),10.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2019,Domestic general government health expenditure (% of total government expenditure),11.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
499,Montenegro,2020,Domestic general government health expenditure (% of total government expenditure),13.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2005,Current health expenditure (% of GDP),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2010,Current health expenditure (% of GDP),5.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2015,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2018,Current health expenditure (% of GDP),5.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2019,Current health expenditure (% of GDP),5.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2020,Current health expenditure (% of GDP),6.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2005,Domestic general government health expenditure (% of total government expenditure),3.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2010,Domestic general government health expenditure (% of total government expenditure),7.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2015,Domestic general government health expenditure (% of total government expenditure),7.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2018,Domestic general government health expenditure (% of total government expenditure),7.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2019,Domestic general government health expenditure (% of total government expenditure),7.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
504,Morocco,2020,Domestic general government health expenditure (% of total government expenditure),7.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2005,Current health expenditure (% of GDP),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2010,Current health expenditure (% of GDP),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2015,Current health expenditure (% of GDP),6.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2018,Current health expenditure (% of GDP),8.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2019,Current health expenditure (% of GDP),8.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2020,Current health expenditure (% of GDP),7.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2005,Domestic general government health expenditure (% of total government expenditure),8.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2010,Domestic general government health expenditure (% of total government expenditure),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2015,Domestic general government health expenditure (% of total government expenditure),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2018,Domestic general government health expenditure (% of total government expenditure),5.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2019,Domestic general government health expenditure (% of total government expenditure),6.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
508,Mozambique,2020,Domestic general government health expenditure (% of total government expenditure),7.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2005,Current health expenditure (% of GDP),2.3,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2010,Current health expenditure (% of GDP),2.0,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2015,Current health expenditure (% of GDP),5.5,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2018,Current health expenditure (% of GDP),4.9,Data revision.;Data refer to fiscal years beginning 1 April.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2019,Current health expenditure (% of GDP),4.7,Data revision.;Data refer to fiscal years beginning 1 April.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2020,Current health expenditure (% of GDP),4.6,Data revision.;Data refer to fiscal years beginning 1 April.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2005,Domestic general government health expenditure (% of total government expenditure),1.3,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2010,Domestic general government health expenditure (% of total government expenditure),1.4,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2015,Domestic general government health expenditure (% of total government expenditure),5.0,Data revision.;Data refer to fiscal years beginning 1 April.;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2018,Domestic general government health expenditure (% of total government expenditure),3.5,Data revision.;Data refer to fiscal years beginning 1 April.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2019,Domestic general government health expenditure (% of total government expenditure),3.6,Data revision.;Data refer to fiscal years beginning 1 April.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
104,Myanmar,2020,Domestic general government health expenditure (% of total government expenditure),3.4,Data revision.;Data refer to fiscal years beginning 1 April.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2005,Current health expenditure (% of GDP),10.2,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2010,Current health expenditure (% of GDP),9.7,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2015,Current health expenditure (% of GDP),10.0,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2018,Current health expenditure (% of GDP),8.3,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2019,Current health expenditure (% of GDP),8.5,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2020,Current health expenditure (% of GDP),8.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2005,Domestic general government health expenditure (% of total government expenditure),16.3,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2010,Domestic general government health expenditure (% of total government expenditure),11.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2015,Domestic general government health expenditure (% of total government expenditure),9.6,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2018,Domestic general government health expenditure (% of total government expenditure),10.7,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2019,Domestic general government health expenditure (% of total government expenditure),10.7,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
516,Namibia,2020,Domestic general government health expenditure (% of total government expenditure),10.7,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2005,Current health expenditure (% of GDP),10.3,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2010,Current health expenditure (% of GDP),12.7,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2015,Current health expenditure (% of GDP),13.7,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2018,Current health expenditure (% of GDP),11.7,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2019,Current health expenditure (% of GDP),12.2,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2020,Current health expenditure (% of GDP),12.0,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2005,Domestic general government health expenditure (% of total government expenditure),25.4,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2010,Domestic general government health expenditure (% of total government expenditure),10.2,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2015,Domestic general government health expenditure (% of total government expenditure),9.9,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2018,Domestic general government health expenditure (% of total government expenditure),10.8,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2019,Domestic general government health expenditure (% of total government expenditure),9.2,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
520,Nauru,2020,Domestic general government health expenditure (% of total government expenditure),6.7,Data refer to fiscal years beginning 1 July.;General government expenditure (GGE) can be larger than the Gross domestic product (GDP) because government accounts for a very large part of domestic consumption and because a large part of domestic consumption in the country is accounted for by imports.;Indicators are sensitive to external funds flowing in to the country.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2005,Current health expenditure (% of GDP),3.9,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2010,Current health expenditure (% of GDP),4.4,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2015,Current health expenditure (% of GDP),5.5,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2018,Current health expenditure (% of GDP),4.5,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2019,Current health expenditure (% of GDP),4.4,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2020,Current health expenditure (% of GDP),5.2,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2005,Domestic general government health expenditure (% of total government expenditure),6.3,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2010,Domestic general government health expenditure (% of total government expenditure),4.8,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2015,Domestic general government health expenditure (% of total government expenditure),5.1,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2018,Domestic general government health expenditure (% of total government expenditure),3.8,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2019,Domestic general government health expenditure (% of total government expenditure),4.0,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
524,Nepal,2020,Domestic general government health expenditure (% of total government expenditure),5.7,Data refer to fiscal years beginning 16 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2005,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2010,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2015,Current health expenditure (% of GDP),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2018,Current health expenditure (% of GDP),10.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2019,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2020,Current health expenditure (% of GDP),11.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2005,Domestic general government health expenditure (% of total government expenditure),14.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2010,Domestic general government health expenditure (% of total government expenditure),14.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2015,Domestic general government health expenditure (% of total government expenditure),15.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2018,Domestic general government health expenditure (% of total government expenditure),15.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2019,Domestic general government health expenditure (% of total government expenditure),15.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
528,Netherlands (Kingdom of the),2020,Domestic general government health expenditure (% of total government expenditure),16.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
554,New Zealand,2005,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
554,New Zealand,2010,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
554,New Zealand,2015,Current health expenditure (% of GDP),9.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
554,New Zealand,2018,Current health expenditure (% of GDP),9.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
